All,"4,830,173"
California,"750,292"
Texas,"693,340"
Florida,"428,456"
New York,"417,956"
Not Known,"352,193"
Georgia,"188,051"
New Jersey,"172,496"
Arizona,"126,538"
Virginia,"126,215"
Louisiana,"122,609"
Maryland,"108,740"
Illinois,"107,241"
Washington,"104,437"
Massachusetts,"101,934"
Pennsylvania,"94,256"
Colorado,"81,547"
North Carolina,"76,323"
Foreign Address,"60,712"
Ohio,"55,777"
Tennessee,"51,695"
Nevada,"50,473"
Minnesota,"45,799"
Michigan,"45,058"
Missouri,"43,012"
Connecticut,"33,592"
Nebraska,"32,400"
New Mexico,"31,178"
Indiana,"30,407"
Oklahoma,"28,414"
Utah,"25,570"
Alabama,"24,492"
Kentucky,"22,972"
South Carolina,"22,864"
Oregon,"21,220"
Kansas,"20,912"
Iowa,"16,492"
Rhode Island,"15,551"
Arkansas,"13,824"
Wisconsin,"12,870"
District of Columbia,"10,871"
Mississippi,"10,294"
Puerto Rico,"10,015"
Delaware,"8,239"
Idaho,"7,844"
New Hampshire,"5,763"
Hawaii,"5,359"
South Dakota,"3,593"
Maine,"3,410"
Wyoming,"1,348"
Alaska,"1,317"
North Dakota,"1,268"
West Virginia,"1,152"
Montana,948
Vermont,843
,
,
,
,
,
,
,
,
,